EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054035,0540350000,0540359999,COLT,ZNE Lesparre-Médoc,01/01/2018
054036,0540360000,0540369999,COLT,ZNE Libourne,01/01/2018
054037,0540370000,0540379999,COLT,ZNE La Réole,01/01/2018
054038,0540380000,0540389999,COLT,ZNE Labouheyre,01/01/2018
054039,0540390000,0540399999,SFR0,ZNE Bayonne,08/12/2011
054040,0540400000,0540409999,SFR0,ZNE Agen,08/12/2011
054041,0540410000,0540419999,SFR0,ZNE Langon,08/12/2011
054042,0540420000,0540429999,FREE,ZNE Dax,08/01/2009
054043,0540430000,0540439999,BOUY,ZNE Andernos-les-Bains,20/09/2000
054044,0540440000,0540449999,FREE,ZNE Labouheyre,08/01/2009
054045,0540450000,0540459999,BOUY,ZNE Bordeaux,20/09/2000
054046,0540460000,0540469999,BOUY,ZNE Périgueux,20/09/2000
054047,0540470000,0540479999,FREE,ZNE Mont-de-Marsan,08/01/2009
054048,0540480000,0540489999,SFR0,ZNE Bayonne,08/12/2011
054049,0540490000,0540499999,FREE,ZNE Agen,08/01/2009
054050,0540500000,0540509999,SFR0,ZNE Bazas,08/12/2011
054051,0540510000,0540519999,BOUY,ZNE Arcachon,20/09/2000
054052,0540520000,0540529999,FREE,ZNE Marmande,08/01/2009
054053,0540530000,0540539999,BOUY,ZNE Blaye,20/09/2000
054054,0540540000,0540549999,SFR0,ZNE Bordeaux,08/12/2011
054055,0540550000,0540559999,FREE,ZNE Nérac,08/01/2009
054056,0540560000,0540569999,BOUY,ZNE Langon,20/09/2000
054057,0540570000,0540579999,FREE,ZNE Villeneuve-sur-Lot,08/01/2009
054058,0540580000,0540589999,BOUY,ZNE Libourne,20/09/2000
054059,0540590000,0540599999,FREE,ZNE Bayonne,08/01/2009
054060,0540600000,0540609999,SFR0,ZNE Labouheyre,08/12/2011
054061,0540610000,0540619999,BOUY,ZNE Dax,20/09/2000
054062,0540620000,0540629999,FREE,ZNE Mauléon-Licharre,08/01/2009
054063,0540630000,0540639999,BOUY,ZNE Mont-de-Marsan,20/09/2000
054064,0540640000,0540649999,FREE,ZNE Oloron-Sainte-Marie,08/01/2009
054065,0540650000,0540659999,BOUY,ZNE Marmande,20/09/2000
054066,0540660000,0540669999,FREE,ZNE Pau,08/01/2009
054067,0540670000,0540679999,FREE,ZNE Salies-de-Béarn,08/01/2009
054068,0540680000,0540689999,SFR0,ZNE Blaye,08/12/2011
054069,0540690000,0540699999,BOUY,ZNE Bayonne,20/09/2000
054070,0540700000,0540709999,SFR0,ZNE Arcachon,08/12/2011
054071,0540710000,0540719999,SFR0,ZNE Bordeaux,08/12/2011
054072,0540720000,0540729999,SFR0,ZNE Sarlat-la-Canéda,08/12/2011
054073,0540730000,0540739999,BOUY,ZNE Pau,20/09/2000
054074,0540740000,0540749999,SFR0,ZNE Terrasson-Lavilledieu,08/12/2011
054075,0540750000,0540759999,SFR0,ZNE Thiviers,08/12/2011
054076,0540760000,0540769999,SFR0,ZNE La Réole,08/12/2011
054077,0540770000,0540779999,SFR0,ZNE Dax,08/12/2011
054078,0540780000,0540789999,SFR0,ZNE Labouheyre,08/12/2011
054079,0540790000,0540799999,SFR0,ZNE Andernos-les-Bains,08/12/2011
054080,0540800000,0540809999,SFR0,ZNE Andernos-les-Bains,08/12/2011
054081,0540810000,0540819999,FREE,ZNE Bordeaux,08/01/2009
054082,0540820000,0540829999,FREE,ZNE Bordeaux,08/01/2009
054083,0540830000,0540839999,FREE,ZNE Bordeaux,08/01/2009
054084,0540840000,0540849999,FREE,ZNE Bordeaux,08/01/2009
054085,0540850000,0540859999,COMP,ZNE Pau,20/12/2011
054086,0540860000,0540869999,SFR0,ZNE Mont-de-Marsan,08/12/2011
054087,0540870000,0540879999,SFR0,ZNE Agen,08/12/2011
054088,0540880000,0540889999,HUBT,ZNE Marmande,03/09/2009
054089,0540890000,0540899999,SFR0,ZNE Marmande,08/12/2011
054090,0540900000,0540909999,SFR0,ZNE Lesparre-Médoc,08/12/2011
054091,0540910000,0540919999,FREE,ZNE Bordeaux,08/01/2009
054092,0540920000,0540929999,FREE,ZNE Bergerac,08/01/2009
054093,0540930000,0540939999,FREE,ZNE Mussidan,08/01/2009
054094,0540940000,0540949999,FREE,ZNE Nontron,08/01/2009
054095,0540950000,0540959999,FREE,ZNE Périgueux,08/01/2009
054096,0540960000,0540969999,FREE,ZNE Ribérac,08/01/2009
054097,0540970000,0540979999,FREE,ZNE Sarlat-la-Canéda,08/01/2009
054098,0540980000,0540989999,FREE,ZNE Terrasson-Lavilledieu,08/01/2009
054099,0540990000,0540999999,FREE,ZNE Thiviers,08/01/2009
054200,0542000000,0542009999,FRTE,Sud Ouest,01/01/2017
054201,0542010000,0542019999,FRTE,Sud Ouest,01/01/2017
054202,0542020000,0542029999,FRTE,Sud Ouest,01/01/2017
054203,0542030000,0542039999,FRTE,Sud Ouest,01/01/2017
054204,0542040000,0542049999,FRTE,Sud Ouest,01/01/2017
054205,0542050000,0542059999,FRTE,Sud Ouest,01/01/2017
054206,0542060000,0542069999,FRTE,Sud Ouest,01/01/2017
054207,0542070000,0542079999,FRTE,Sud Ouest,01/01/2017
054208,0542080000,0542089999,FRTE,Sud Ouest,01/01/2017
054209,0542090000,0542099999,FRTE,Sud Ouest,01/01/2017
054210,0542100000,0542109999,FRTE,Sud Ouest,01/01/2017
054211,0542110000,0542119999,FRTE,Sud Ouest,01/01/2017
054212,0542120000,0542129999,FRTE,Sud Ouest,01/01/2017
054213,0542130000,0542139999,FRTE,Sud Ouest,01/01/2017
054214,0542140000,0542149999,FRTE,Sud Ouest,01/01/2017
054215,0542150000,0542159999,FRTE,Sud Ouest,01/01/2017
054216,0542160000,0542169999,FRTE,Sud Ouest,01/01/2017
054217,0542170000,0542179999,FRTE,Sud Ouest,01/01/2017
054218,0542180000,0542189999,FRTE,Sud Ouest,01/01/2017
054219,0542190000,0542199999,FRTE,Sud Ouest,01/01/2017
054220,0542200000,0542209999,FRTE,Sud Ouest,01/01/2017
054221,0542210000,0542219999,FRTE,Sud Ouest,01/01/2017
054222,0542220000,0542229999,FRTE,Sud Ouest,01/01/2017
054223,0542230000,0542239999,FRTE,Sud Ouest,01/01/2017
054224,0542240000,0542249999,FRTE,Sud Ouest,01/01/2017
054225,0542250000,0542259999,FRTE,Sud Ouest,01/01/2017
054226,0542260000,0542269999,FRTE,Sud Ouest,01/01/2017
054227,0542270000,0542279999,FRTE,Sud Ouest,01/01/2017
054228,0542280000,0542289999,FRTE,Sud Ouest,01/01/2017
054229,0542290000,0542299999,FRTE,Sud Ouest,01/01/2017
054230,0542300000,0542309999,FRTE,Sud Ouest,01/01/2017
054231,0542310000,0542319999,FRTE,Sud Ouest,01/01/2017
054232,0542320000,0542329999,FRTE,Sud Ouest,01/01/2017
054233,0542330000,0542339999,FRTE,Sud Ouest,01/01/2017
054234,0542340000,0542349999,FRTE,Sud Ouest,01/01/2017
054235,0542350000,0542359999,FRTE,Sud Ouest,01/01/2017
054236,0542360000,0542369999,FRTE,Sud Ouest,01/01/2017
054237,0542370000,0542379999,FRTE,Sud Ouest,01/01/2017
054238,0542380000,0542389999,FRTE,Sud Ouest,01/01/2017
054239,0542390000,0542399999,FRTE,Sud Ouest,01/01/2017
054240,0542400000,0542409999,FRTE,Sud Ouest,01/01/2017
054241,0542410000,0542419999,FRTE,Sud Ouest,01/01/2017
054242,0542420000,0542429999,FRTE,Sud Ouest,01/01/2017
054243,0542430000,0542439999,FRTE,Sud Ouest,01/01/2017
054244,0542440000,0542449999,FRTE,Sud Ouest,01/01/2017
054245,0542450000,0542459999,FRTE,Sud Ouest,01/01/2017
054246,0542460000,0542469999,FRTE,Sud Ouest,01/01/2017
054247,0542470000,0542479999,FRTE,Sud Ouest,01/01/2017
054248,0542480000,0542489999,FRTE,Sud Ouest,01/01/2017
054249,0542490000,0542499999,FRTE,Sud Ouest,01/01/2017
054250,0542500000,0542509999,FRTE,Sud Ouest,01/01/2017
054251,0542510000,0542519999,FRTE,Sud Ouest,01/01/2017
054252,0542520000,0542529999,FRTE,Sud Ouest,01/01/2017
054253,0542530000,0542539999,FRTE,Sud Ouest,01/01/2017
054254,0542540000,0542549999,FRTE,ZNE Auch,01/01/2017
054255,0542550000,0542559999,FRTE,Sud Ouest,01/01/2017
054256,0542560000,0542569999,FRTE,Sud Ouest,01/01/2017
054257,0542570000,0542579999,FRTE,Sud Ouest,01/01/2017
054258,0542580000,0542589999,FRTE,Sud Ouest,01/01/2017
054259,0542590000,0542599999,FRTE,Sud Ouest,01/01/2017
054260,0542600000,0542609999,FRTE,Sud Ouest,01/01/2017
054261,0542610000,0542619999,FRTE,Sud Ouest,01/01/2017
054262,0542620000,0542629999,FRTE,Sud Ouest,01/01/2017
054263,0542630000,0542639999,FRTE,Sud Ouest,01/01/2017
054264,0542640000,0542649999,FRTE,Sud Ouest,01/01/2017
054265,0542650000,0542659999,FRTE,Sud Ouest,01/01/2017
054266,0542660000,0542669999,FRTE,Sud Ouest,01/01/2017
054267,0542670000,0542679999,FRTE,Sud Ouest,01/01/2017
054268,0542680000,0542689999,FRTE,Sud Ouest,01/01/2017
054269,0542690000,0542699999,FRTE,Sud Ouest,01/01/2017
